"","x"
"1",1.28595519491645
"2",-0.882034141735762
"3",2.24140125053199
"4",2.43681285840946
"5",-0.969762154026193
"6",0.469695076317558
"7",-1.8613768349206
"8",-1.06171354875153
"9",1.02337662422009
"10",0.114225573061582
"11",0.939848594210299
"12",-2.77737628235442
"13",-1.80264963119383
"14",2.32783918228674
"15",0.538259045104498
"16",-0.345809764253975
"17",0.0927430939757227
"18",-1.62703089968809
"19",-1.68861541485954
"20",2.52295946723438
"21",0.274195587211343
"22",-1.41358449406843
"23",-0.0694036293093023
"24",0.251254612885827
"25",0.199670697101713
"26",-0.0306888257989463
"27",-1.10294826517968
"28",-1.57055341289426
"29",0.10114313412517
"30",-0.620527978264785
"31",0.149015137293678
"32",0.77607607940314
"33",-0.268968674035462
"34",2.77194017589246
"35",0.344384615262422
"36",-0.985391350181446
"37",1.98343296785232
"38",0.121376088460703
"39",-0.324747579954889
"40",0.999944708157967
"41",2.71534136024748
"42",1.54486205067734
"43",-1.54758116427045
"44",0.596656687765895
"45",-0.129032651097031
"46",-3.23774339984575
"47",-0.669358140943524
"48",2.56048491018928
"49",1.43066216371695
"50",-2.55223757563319
"51",0.0259393305378742
"52",2.27506721026332
"53",-0.502074461104247
"54",-0.695082818644875
"55",-0.507434899713618
"56",-2.73049037905187
"57",-0.50643557863534
"58",0.529477037065777
"59",-0.201260491731758
"60",3.88092918584952
"61",4.26264998881839
"62",2.17631583993778
"63",0.243339573372002
"64",-2.41624676332386
"65",0.8532536941039
"66",2.46826553876901
"67",-0.571577377684545
"68",-2.33421468458286
"69",-0.415731423455108
"70",0.507785400205599
"71",-1.70074944505887
"72",-0.807264258781112
"73",0.539947134091872
"74",0.126793443465795
"75",1.38403949450649
"76",1.94887220703196
"77",1.42252947871219
"78",-0.685207300354766
"79",-0.307874319250084
"80",2.01651834316132
"81",1.9007863159171
"82",1.22159797990548
"83",-1.49468917088779
"84",-0.943909122818742
"85",-1.02877685495873
"86",1.78397815073829
"87",0.950749797846734
"88",-1.27097742974271
"89",2.32897804193211
"90",0.186598182154136
"91",-2.81294766404648
"92",-3.65250112948782
"93",-0.0941497393058277
"94",0.726630824750595
"95",-1.89652065677352
"96",0.147874553921009
"97",1.67093455580089
"98",-1.08437441262864
"99",-0.501156967410265
"100",1.20291988482303
"101",-0.327355642534099
"102",-1.96993138028241
"103",-2.96975686033586
"104",-0.628562200476517
