"","xx","yy","zz"
"T+1",-1.06611944164825,0.0395243534477874,-0.479577376547952
"T+2",-2.31142247593536,2.17056562018346,0.532907612575557
"T+3",-1.18634798061361,1.38045742121598,0.784395472816223
"T+4",-3.00515805092031,1.475053432354,-1.08470849043582
"T+5",0.485069441554617,0.355663177812673,-2.11773282399244
"T+6",4.63292875726344,1.93078075078326,-0.524822469717491
"T+7",2.88327251124361,1.58000567582903,-0.98404408815677
"T+8",1.39273931450981,0.518160567994634,-0.110837687358011
"T+9",-0.657488423765821,1.25329864862763,-1.77979807445709
"T+10",-6.85762382450344,1.67734549615197,-1.75329958798962
"T+11",-8.11029495379096,0.0353799428587471,-2.61333616734501
"T+12",-0.232746758196289,-0.415390465449616,-2.7299322171518
"T+13",1.00512163180705,-0.149656407484141,-3.20350298698711
"T+14",0.954549381860559,1.39289012224928,-1.29555504989889
"T+15",1.71379629807797,-0.120269900337163,-0.957010986279409
"T+16",0.464298076779755,0.990383251375665,-0.556378931064312
"T+17",-1.66702577439805,1.79224063645772,0.379029754313532
"T+18",0.41048107120134,1.9592532725748,0.338468029297251
"T+19",5.05130805706632,1.74169363531003,-0.553204106091447
"T+20",3.89419385133682,0.816545426853092,-1.68524816545986
"T+21",0.683151926203517,0.150256649135415,-1.9468367468134
"T+22",-0.125545097034333,-0.62031935682764,0.00244241723307081
"T+23",0.863603929950031,1.6218661912567,-0.0570344363562914
"T+24",-1.24760925736856,0.683675022077934,-1.45073156614138
"T+25",-0.900665755297364,1.5850676249597,-0.894493621010034
"T+26",0.836726853349687,1.32883880148266,-1.22729294341609
"T+27",9.60611653834403,0.955781183153483,-0.236986049802717
"T+28",6.20939826391844,0.660963369286777,0.580334353240318
"T+29",0.517194764868192,-0.750463793444188,-0.250367116227797
"T+30",6.06899416888252,0.498715105811357,0.473949633173067
"T+31",-0.0619845730879875,1.12925401450329,-0.210192902931275
"T+32",-3.33119187352287,0.605568820681567,-1.73945859828533
"T+33",-2.2963989885242,-0.290120580271108,-1.6194916683175
"T+34",-3.57768262493293,0.961173604548094,-0.556626814683668
"T+35",-0.629544107860695,1.81061954924417,1.42199626051816
"T+36",-1.47038923779043,0.652154698716714,-2.29742650927275
"T+37",0.37189408860232,1.80138493407727,-1.81584986947052
"T+38",0.603445887176725,0.452406863755823,-1.44603583740329
"T+39",1.02711289736268,0.450949052075738,-2.29338398750744
"T+40",1.27922629023022,0.916588195371872,-1.6311366269062
"T+41",2.80945418006651,0.880740644511448,-1.10043136592405
"T+42",4.23652070388044,0.493562161561025,-0.727912697086115
"T+43",1.80942147144104,0.527582086649557,-0.506440370673071
"T+44",0.135084863022371,1.85511363914421,0.357642467164911
"T+45",-1.55933241934839,0.830602506212038,0.118959449600973
"T+46",-2.08735478133346,1.84268460782573,0.62775204292776
"T+47",-0.550693053690794,1.39153711745916,-0.969107823641188
"T+48",-0.0544969788652501,2.37811358376776,-1.11674707998386
"T+49",-0.695791824354267,3.5007670681469,0.561841193020444
